Posicao na coleta,Gênero do vídeo,Tipo de produtor,Categoria do vídeo,guideCategory,Taxa de engajamento,Idioma,Posicao Geral,Id do canal,Canal,Inscritos no canal,Id do vídeo,Data de publicação,Diferenca de horas entre postagem e coleta,Título do vídeo,Descrição do vídeo,Tags do video,Duração do vídeo,Visualizações,Gostei,Comentários,thumbnail_maxres,Pais
1,,,17,"Association_football, Sport",4.39%,pt-BR,1,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,19300000,1zf6nyS-cNc,2025-05-26T20:24:24Z,11.80 horas,1ª CONVOCAÇÃO DE ANCELOTTI NA SELEÇÃO BRASILEIRA | EVENTO COMPLETO | PAPO 10,"QUEM SERÃO OS ESCOLHIDOS DE CARLO ANCELOTTI?

O Papo 10 de hoje será especial, cobrindo tudo sobre a primeira convocação da Seleção Brasileira sob o comando do Ancelotti! Será que o italiano vai fazer o Brasil voltar a jogar bola?","CazéTV, Cazé TV, Casimiro ao vivo, Casimiro, CazéTV ao vivo, Cazé ao vivo, cazetv, caze tv ao vivo, cazetv ao vivo, cbf, ancelotti, ancelotti seleção, selecao, carlo ancelotti, tecnico seleção, tecnico selecao, ancelotti selecao, italiano, técnico, treinador, tecnico brasil, casimiro ancelotti, convocaçao seleçao, convocaçao ancelotti, convocacao, convocaçao brasil",03:19:36,4594190,201231,258,https://i.ytimg.com/vi/1zf6nyS-cNc/maxresdefault.jpg,BR
2,,,24,"Television_program, Lifestyle_(sociology), Food, Entertainment",1.93%,pt,2,UCp7tUxXfE9jUtkMLGCzeXqA,Pesadelo na Cozinha,3400000,XfAIZVHl_uU,2025-05-26T22:19:06Z,9.89 horas,Pesadelo na Cozinha: Bar do Dedé - Episódio Completo | Bloco 1,"Siga Pesadelo na Cozinha nas redes sociais: 

Instagram: instagram.com/pesadelo.na.cozinha
X: x.com/cozinhapesadelo

#PesadeloNaCozinha #Jacquin","Pesadelo na cozinha, pesadelo na cozinha band, episódios pesadelo na cozinha, jacquin pesadelo na cozinha, jakan pesadelo na cozinha, chefe jacquin, erick jacquin, programa jacquin band, pesadelo na cozinha restaurantes, temporada pesadelo na cozinha, pesadelo na cozinha memes, pesadelo na cozinha melhores momentos, Bar do Dedé",00:33:42,193196,3571,153,https://i.ytimg.com/vi/XfAIZVHl_uU/maxresdefault.jpg,BR
3,,,17,"Basketball, Sport, Association_football",2.79%,pt,3,UC_oToDrJ6uca7d1dFVBmLtg,Canal GOAT,4510000,w7N75KzTww4,2025-05-26T22:02:30Z,10.17 horas,AL-FATEH X AL-NASSR | LIGA SAUDITA | AO VIVO E COM IMAGENS,"Divirta-se na Casa de Apostas: https://abre.ai/casadeapostas-yt (+18 jogue com responsabilidade)

O AL-FATEH recebe o AL-NASSR em partida válida pela 34ª rodada da LIGA SAUDITA! Assista AO VIVO e COM IMAGENS na tela do CANAL GOAT!

TUDO sobre o Canal GOAT em um só lugar: https://linktr.ee/canalgoatbr

Siga o canal de Gols do Bodinho no WhatsApp: https://whatsapp.com/channel/0029VaqqM5W4tRrxZ2sUlq3C

Já se inscreveu? Ative também as notificações para não perder nenhum lance!

▪️ Uma nova via de consumo esportivo. Inovador, disruptivo e GRÁTIS! 🐐

#cr7 #goat #alnassr","canal goat, goat ao vivo, ao vivo, futebol ao vivo, futebol, futebol grátis, transmissão ao vivo, transmissão goat, goat, goat br, saudita no goat, sauditao no goat, liga saudita no goat, spl, saudi pro league, campeonato saudita, liga saudita, LIGA SAUDITA, AO VIVO, COM IMAGENS, al fateh, al nassr, al fateh x al nassr",04:38:35,501565,14000,4,https://i.ytimg.com/vi/w7N75KzTww4/maxresdefault.jpg,BR
4,,,17,"Association_football, Sport",3.17%,,4,UCgCKagVhzGnZcuP9bSMgMCg,ge,6030000,GfVd02oHp0Q,2025-05-25T21:20:47Z,34.86 horas,PALMEIRAS 0 X 2 FLAMENGO | MELHORES MOMENTOS | 10ª RODADA BRASILEIRÃO 2025 | ge.globo,"Rossi pega pênalti, Flamengo vence Palmeiras e encosta na liderança do Brasileirão Arrascaeta, batendo outra penalidade, e Ayrton Lucas fizeram os gols no triunfo rubro-negro que esquenta a briga pelo topo do campeonato.

🌟 Confira todos os melhores momentos com mais replays em ge.globo: https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/25-05-2025/palmeiras-flamengo.ghtml

🌟 Veja como ficou a tabela: https://ge.globo.com/futebol/brasileirao-serie-a/

🌟 Assine Premiere: 
https://gplay.la/ytgepremiere

#Brasileirão #Palmeiras #Flamengo
______________________________________
✅ INSCREVA-SE NO CANAL GE:  https://cutt.ly/xfHlwBk
🏆 Assine o sportv e Globoplay +Canais: https://bit.ly/3oCtARt
⚽ Assista ao sportv pelo Globoplay: https://bit.ly/3qlSUvP

👉 Acesse ge.globo
👍 Curtiu o vídeo? Deixe seu like e dê seu pitaco 😎⚽ 

🌟 Playlists pra você maratonar 🌟 
► trechos SPORTV: https://cutt.ly/ERy9MiB
► Bola Quadrada:  https://cutt.ly/IfHk7ra 
►Jogos Históricos: https://cutt.ly/BkxoZJX
► Listas e TOPs: https://cutt.ly/hkxo51U
► Originais GE: https://cutt.ly/vkxpunL

✅ Inscreva-se, também, no canal do CARTOLA FC e fique por dentro das melhores dicas do maior fantasy game do Brasil - https://cutt.ly/ffV1Xri

No canal ge você encontra os melhores conteúdos do FUTEBOL BRASILEIRO! 🤙😎",,00:04:54,2237894,66160,4743,https://i.ytimg.com/vi/GfVd02oHp0Q/maxresdefault.jpg,BR
5,,,20,"Role-playing_video_game, Video_game_culture, Action-adventure_game",4.80%,pt,5,UCEOGSdXwcXcNfcuDGbjmgOw,Julia MineGirl,11600000,PRe0d8Okdoc,2025-05-26T14:00:43Z,18.20 horas,VIREI UM TREM e PRENDI MINHA FAMÍLIA! (Roblox Crazy Trains),"💜 No vídeo de hoje jogamos o game Crazy Trains no Roblox.

💜 Canal da Minha família:
https://www.youtube.com/crisminegirl
https://www.youtube.com/texhs

💜Música - Biblioteca de áudio do YouTube e Epidemic Sound 
                         
Likelation!
Julia Minegirl","Julia Minegirl, Julia, Minegirl, Canal Julia Minegirl, Cris Minegirl, jogo, jogos, roblox, roblox crazy trains, virei um trem, puzzle, divertido, engraçado",00:20:01,199055,8648,908,https://i.ytimg.com/vi/PRe0d8Okdoc/maxresdefault.jpg,BR
6,,,17,"Sport, Association_football",8.34%,pt-BR,6,UCDUmY6hhe6qOzf_syVE-8Gg,Romário TV,435000,L-oK71nDR0M,2025-05-26T14:00:07Z,18.21 horas,ANTONY - DE CARA COM O CARA #7,"O Romário como você nunca viu! 

No sétimo episódio do 'De Cara Com o Cara', o baixinho recebe um dos brasileiros de maior destaque na Europa atualmente, Antony, craque do Betis e da Seleção brasileira!  

Como sempre, um papo sem filtros, com muita descontração e falando de tudo, tudo mesmo! 

Deixe o like! 👍
Se inscreva! 📩
Ative o sino! 🔔

📱 Redes sociais: 
📸 Instagram: RomarioTV_oficial","ROMÁRIO, SELEÇÃO, BETIS, COPA DO MUNDO, COPA, HEXA, ANCELOTTI, UNITED, CARAS, MANCHESTER, drible, gol, família, brasil, título, são paulo, espanha, atlético de madrid, madrid, ajax, holanda, cbf, mundial, ídolo, amarelinha, messi, cr7, cristiano ronaldo, robozão, cris, la noche me encanta, noitada, resenha, raphinha, neymar, diniz, gênio, craque, vini jr, melhor do mundo, sucesso, carreira",00:24:37,205059,16568,533,https://i.ytimg.com/vi/L-oK71nDR0M/maxresdefault.jpg,BR
7,,,17,"Association_football, Sport",4.76%,pt,7,UCs-6sCz2LJm1PrWQN4ErsPw,TNT Sports Brasil,12000000,xEvPwi9TakI,2025-05-26T19:36:53Z,12.60 horas,SEM NEYMAR E PEDRO! ASSISTA A APRESENTAÇÃO E 1ª CONVOCAÇÃO DE CARLO ANCELOTTI NA SELEÇÃO BRASILEIRA,"Carlo Ancelotti chegou no Rio de Janeiro pra fazer sua apresentação e primeira convocação como novo técnico da Seleção, após sair do Real Madrid

Assista a todos os jogos ao vivo da Champions League só na Max, além de vários jogos EXCLUSIVOS do Campeonato Paulista!  https://bit.ly/48xBlJi

Acesse o portal da TNT Sports: http://www.tntsports.com.br/

Canais:
De Placa - http://bit.ly/2HxPlHl
De Sola - http://bit.ly/2k0Xg90
EI Games - http://bit.ly/2ufcveA
MFM - http://bit.ly/2KnSU6P
Cortes da TNT Sports - https://bit.ly/3hbxWHC
Cortes do Futebol Brasileiro - https://bit.ly/3aNJJwn
TNT Sports Entrevista - https://bit.ly/3xdRJOE","esporte interativo, tnt sports, tnt sports brasil, prorrogação, apresentação ancelotti, carlo ancelotti, ancdlotti brasil, ancelotti seleção, seleção brasileira, convocação ancelotti, convocação brasil, neymar seleção, lista convocados seleção, ancelotti, ancelotti brasil",02:57:45,1611912,76472,291,https://i.ytimg.com/vi/xEvPwi9TakI/maxresdefault.jpg,BR
8,,,24,"Entertainment, Television_program, Humour",3.65%,,8,UC-5npwFvOH9Mp_a15T0VT9g,Programa Silvio Santos,3150000,aBI7DguTvCs,2025-05-26T16:12:36Z,16.00 horas,"Show do Milhão EMS - Temporada 02, Episódio 03 | Programa Silvio Santos (25/05/25)","O terceiro episódio da nova temporada do “Show do Milhão EMS” continua a conquistar alta audiência e grande repercussão nas redes sociais. Sob o comando de Patrícia Abravanel, o tradicional programa de perguntas e respostas busca um competidor que acerte todas as questões e leve para casa o prêmio de um milhão de reais.

Assine o canal do Programa Silvio Santos: https://www.youtube.com/user/SBTPSS

Curta a página do programa no Facebook: https://www.facebook.com/SBTProgramaSilvioSantos/

Fique ligado em tudo do Programa Silvio Santos: http://www.sbt.com.br/programasilviosantos/

Assista aos programas anteriores: http://www.sbt.com.br/programasilviosantos/videos

#ShowdoMilhao","programa silvio santos, silvio santos, sbt, Patricia Abravanel, Programa Silvio Santos de domingo, Programa Silvio Santos de ontem, Luciano Huck, Domingão, PSS, Silvio Santos, tbt Silvio Santos, memória Silvio Santos, apresentadora, herdeira, filha do dono, noite de domingo, sbt domingo, programação sbt, patricia de ontem, patricia domingo, patricia abravanel domingo, Show do Milhão, Jogo do Milhão, pergunta do milhão, sistema brasileiro de televisão, sbt online",00:56:08,114854,3834,353,https://i.ytimg.com/vi/aBI7DguTvCs/maxresdefault.jpg,N/A
9,,,17,"Sport, Association_football",10.66%,pt-BR,9,UCQlY8eDA0QugUAT0v7-q1HA,Canal do VSR,530000,kHUhCnyi6Pg,2025-05-26T21:28:23Z,10.74 horas,ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA,"O Flashscore é a plataforma de resultados ao vivo e estatística que o VSR usa para os vídeos e o trabalho! Você pode baixar, totalmente de graça, e começar a usar agora! Só clicar neste link ⬇
https://flashsco.re/br-sm-vsrflash.

ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA
ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA
ANCELOTTI CONVOCA BEM E ACERTA SEM NEYMA AGORA

#ancelotti #seleçãobrasileira #cbf",,00:15:35,120047,12110,686,https://i.ytimg.com/vi/kHUhCnyi6Pg/maxresdefault.jpg,BR
10,,,24,"Entertainment, Lifestyle_(sociology)",3.66%,,10,UChEmvd47U5S-lCbZvUjzGcA,Ryan Oliveira,7200000,jKWQRQGrxgk,2025-05-26T15:01:16Z,17.19 horas,🚨 S.O.S 🚨 A LIGEIRINHA DESAPARECEU !!😭😭😭,"🚨 URGENTE! A Ligeirinha DESAPARECEU!! 😱 O Ryan está desesperado procurando por ela… o que será que aconteceu com a namorada dele? 💔😢
Assiste agora e ajuda a encontrar pistas! 🔍📱
👉 #RyanLigeirinha
👉 #NamoradoRyanLigeirinha
👉 #Desaparecida #Mistério #CanalRyanOliveira",,00:10:52,227634,7721,608,https://i.ytimg.com/vi/jKWQRQGrxgk/maxresdefault.jpg,BR
